City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,coromandel,-18.4733,-47.2003,27.09,53,86,1.92,BR,1712756421
215,barcelos,41.5388,-8.6151,23.29,44,100,2.8,PT,1712756421
216,vila velha,-20.3297,-40.2925,30.97,81,20,1.79,BR,1712756421
217,san onofre,9.7359,-75.5263,31.36,64,14,3.37,CO,1712756421
218,haapavesi,64.1333,25.3667,9.18,83,100,3.58,FI,1712756421
219,lazaro cardenas,17.9583,-102.2,23.96,63,85,1.26,MX,1712756422
220,sitka,57.0531,-135.33,5.94,75,100,4.63,US,1712756345
221,kingston,17.997,-76.7936,28.42,78,75,3.09,JM,1712756332
222,dong ha,16.8163,107.1003,24.15,92,2,1.52,VN,1712756422
223,kaoma,-14.7833,24.8,23.88,80,100,2.31,ZM,1712756422
224,conde,-7.2597,-34.9075,29.7,74,75,3.09,BR,1712756422
225,porto novo,6.4965,2.6036,33.9,57,98,5.05,BJ,1712756416
226,ha tinh,18.3333,105.9,23.07,96,47,1.47,VN,1712756422
227,monrovia,6.3005,-10.7969,32.87,68,63,4.63,LR,1712756182
228,mont-dore,-22.2833,166.5833,25.99,89,95,1.36,NC,1712756423
229,sulak,43.2734,47.5146,12.29,89,100,6.33,RU,1712756423
230,phatthalung,7.5,100.0833,28.46,72,100,5.36,TH,1712756423
231,porto velho,-8.7619,-63.9039,26.03,89,75,2.06,BR,1712756234
232,altay,47.8667,88.1167,4.56,88,100,2.73,CN,1712756423
233,tofol,5.3248,163.0078,28.32,82,97,9.07,FM,1712756423
234,zaysan,47.4667,84.8667,9.0,72,100,7.24,KZ,1712756423
235,kirakira,-10.4544,161.9205,26.68,86,93,2.79,SB,1712756423
236,cuauhtemoc,28.4167,-106.8667,5.38,31,0,1.71,MX,1712756424
237,ilulissat,69.2167,-51.1,-5.99,45,40,1.54,GL,1712756424
238,gebeit,21.0667,36.3167,30.17,11,1,4.49,SD,1712756424
239,adrar,20.5022,-10.0711,36.43,10,0,1.31,MR,1712756424
240,karkira,36.9292,6.5856,17.7,55,39,4.87,DZ,1712756424
241,whitehorse,60.7161,-135.0538,-1.57,69,75,5.66,CA,1712756424
242,lypova dolyna,50.5643,33.7979,24.28,33,3,1.82,UA,1712756424
243,luderitz,-26.6481,15.1594,23.01,58,0,10.49,NA,1712756424
244,leo,11.1,-2.1,39.65,22,47,1.4,BF,1712756424
245,perevolotskiy,51.8763,54.1938,9.42,92,100,5.55,RU,1712756424
246,fortuna,40.5982,-124.1573,10.52,95,100,0.45,US,1712756425
247,touros,-5.1989,-35.4608,29.89,70,97,2.97,BR,1712756425
248,rabo de peixe,37.8,-25.5833,17.77,99,40,6.17,PT,1712756425
249,qaqortoq,60.7167,-46.0333,-3.22,64,6,0.48,GL,1712756425
250,acapulco de juarez,16.8634,-99.8901,22.9,88,75,2.06,MX,1712756425
251,taltal,-25.4,-70.4833,18.89,75,99,1.62,CL,1712756425
252,sibiti,-3.6819,13.3499,28.01,81,64,1.18,CG,1712756425
253,tarko-sale,64.9225,77.785,-21.86,94,46,3.58,RU,1712756309
254,grand falls-windsor,48.9332,-55.6649,-1.39,60,99,3.13,CA,1712756425
255,katpur,21.05,71.7833,27.82,58,9,5.98,IN,1712756425
256,gardnerville ranchos,38.8882,-119.7413,8.02,64,89,2.56,US,1712756426
257,huangmei,30.1924,116.025,18.05,89,100,1.29,CN,1712756426
258,sinabang,2.4803,96.3801,26.74,85,100,1.71,ID,1712756426
259,manadhoo,5.7667,73.3833,30.11,69,49,5.1,MV,1712756426
260,porbandar,21.6422,69.6093,27.41,61,12,6.22,IN,1712756426
261,ola,59.5833,151.2833,-6.03,71,0,4.99,RU,1712756426
262,borogontsy,62.6683,131.1683,-8.0,98,88,1.52,RU,1712756426
263,lorengau,-2.0226,147.2712,26.28,86,100,3.41,PG,1712756426
264,port lincoln,-34.7333,135.8667,15.65,78,29,4.16,AU,1712756426
265,kosh-agach,50.0,88.6667,4.61,44,100,1.34,RU,1712756426
266,neiafu,-18.65,-173.9833,26.38,94,75,0.0,TO,1712756426
267,mount pearl,47.5166,-52.7813,0.47,74,100,7.2,CA,1712756354
268,torghay,49.6339,63.4981,14.49,51,100,3.1,KZ,1712756427
269,stefan voda,46.5153,29.6631,22.76,30,4,3.85,MD,1712756427
270,ifakara,-8.1333,36.6833,29.87,73,82,0.93,TZ,1712756427
271,timaru,-44.4,171.25,15.04,91,100,4.98,NZ,1712756427
272,andrews,32.3187,-102.5457,6.79,81,0,4.12,US,1712756315
273,midvagur,62.0511,-7.1939,7.46,76,40,5.14,FO,1712756427
274,deulgaon raja,20.0167,76.0333,34.93,18,14,2.9,IN,1712756427
275,kone,-21.0595,164.8658,24.56,95,100,1.62,NC,1712756427
276,saint-philippe,-21.3585,55.7679,28.77,85,90,5.57,RE,1712756427
277,colonia,50.9333,6.95,16.7,48,0,1.54,DE,1712756163
278,la ronge,55.1001,-105.2842,1.14,69,20,3.09,CA,1712756428
279,balabac,7.9868,117.0645,28.27,75,82,4.59,PH,1712756428
280,sisimiut,66.9395,-53.6735,-5.51,67,100,3.28,GL,1712756428
281,rajgarh,28.6333,75.3833,32.54,8,5,4.77,IN,1712756428
282,changping,40.2186,116.2197,9.8,84,36,0.8,CN,1712756428
283,machico,32.7,-16.7667,24.35,31,20,7.72,PT,1712756428
284,carnarvon,-24.8667,113.6333,25.17,51,1,5.79,AU,1712756428
285,kirensk,57.7853,108.1119,2.2,96,100,2.24,RU,1712756429
286,tavda,58.0425,65.2726,1.5,59,99,1.34,RU,1712756429
287,alofi,-19.0595,-169.9187,22.94,94,40,0.51,NU,1712756397
288,nuku'alofa,-21.1333,-175.2,25.19,88,40,5.66,TO,1712756429
289,kaohsiung,22.6163,120.3133,25.97,83,75,3.6,TW,1712756429
